1,706
2,706
3,705
4,703
5,705
6,703
7,705
8,702
9,701
10,696
11,693
12,692
13,690
14,691
15,688
16,687
17,685
18,687
19,687
20,687
21,690
22,692
23,694
24,693
25,695
26,696
27,695
28,699
29,700
30,704
31,707
32,710
33,712
34,713
35,715
36,713
37,715
38,710
39,707
40,706
41,702
42,701
43,701
44,701
45,701
46,701
47,703
48,703
49,704
50,708
51,709
52,713
53,711
54,711
55,714
56,716
57,724
58,720
59,720
60,713
61,705
62,702
63,700
64,705
65,704
66,706
67,707
68,706
69,708
70,706
71,706
72,708
73,706
74,707
75,703
76,703
77,702
78,700
79,700
80,699
81,703
82,705
83,708
84,712
85,712
86,715
87,714
88,713
89,716
90,716
91,720
92,717
93,708
94,697
95,690
96,698
97,700
98,705
99,710
100,714
101,724
102,728
103,731
104,732
105,729
106,730
107,728
108,726
109,722
110,721
111,718
112,715
113,714
114,714
115,712
116,711
117,712
118,710
119,709
120,708
121,706
122,706
123,705
124,704
125,701
126,700
127,696
128,692
129,691
130,689
131,688
132,689
133,689
134,688
135,690
136,691
137,691
138,693
139,694
140,696
141,696
142,696
143,694
144,695
145,697
146,700
147,699
148,699
149,699
150,698
151,700
152,700
153,702
154,703
155,704
156,703
157,704
158,706
159,707
160,709
161,709
162,708
163,708
164,706
165,705
166,704
167,703
168,702
169,702
170,700
171,699
172,697
173,695
174,692
175,693
176,693
177,694
178,693
179,696
180,697
181,694
182,694
183,695
184,697
185,700
186,703
187,704
188,705
189,704
190,705
191,704
192,702
193,702
194,701
195,701
196,700
197,701
198,700
199,697
200,695
201,692
202,689
203,682
204,676
205,673
206,674
207,675
208,685
209,681
210,691
211,712
212,723
213,733
214,735
215,737
216,731
217,725
218,708
219,674
220,685
221,694
222,679
223,679
224,705
225,727
226,740
227,772
228,796
229,784
230,767
231,749
232,721
233,692
234,685
235,693
236,708
237,736
238,761
239,763
240,752
241,757
242,743
243,717
244,718
245,730
246,744
247,726
248,700
249,692
250,697
251,705
252,714
253,720
254,724
255,718
256,713
257,704
258,693
259,718
260,759
261,775
262,761
263,743
264,709
265,663
266,635
267,662
268,662
269,666
270,713
271,723
272,715
273,732
274,731
275,733
276,736
277,743
278,736
279,723
280,722
281,684
282,659
283,673
284,699
285,718
286,713
287,720
288,714
289,703
290,698
291,700
292,703
293,701
294,703
295,713
296,683
297,653
298,658
299,710
300,721
301,671
302,675
303,730
304,752
305,764
306,760
307,702
308,705
309,709
310,705
311,695
312,705
313,715
314,708
315,706
316,699
317,679
318,664
319,667
320,692
321,717
322,678
323,677
324,713
325,725
326,726
327,658
328,663
329,687
330,722
331,716
332,706
333,703
334,709
335,710
336,710
337,718
338,730
339,737
340,729
341,705
342,667
343,678
344,707
345,734
346,704
347,705
348,708
349,710
350,711
351,688
352,647
353,653
354,649
355,684
356,728
357,729
358,716
359,667
360,676
361,680
362,693
363,703
364,704
365,697
366,694
367,702
368,703
369,691
370,685
371,691
372,703
373,713
374,725
375,736
376,731
377,713
378,676
379,667
380,690
381,701
382,720
383,722
384,720
385,717
386,709
387,725
388,719
389,676
390,689
391,715
392,735
393,735
394,726
395,722
396,730
397,743
398,749
399,739
400,726
401,703
402,692
403,696
404,705
405,711
406,711
407,710
408,707
409,719
410,726
411,731
412,724
413,730
414,750
415,751
416,729
417,702
418,683
419,679
420,687
421,695
422,700
423,709
424,725
425,734
426,717
427,700
428,688
429,695
430,700
431,709
432,725
433,734
434,740
435,773
436,788
437,753
438,716
439,716
440,721
441,708
442,697
443,705
444,715
445,720
446,729
447,737
448,729
449,708
450,697
451,704
452,727
453,734
454,730
455,728
456,748
457,761
458,750
459,744
460,743
461,742
462,724
463,724
464,726
465,722
466,699
467,673
468,681
469,703
470,721
471,735
472,747
473,753
474,752
475,748
476,744
477,741
478,738
479,734
480,730
481,729
482,727
483,726
484,725
485,722
486,718
487,716
488,718
489,730
490,744
491,752
492,755
493,755
494,757
495,741
496,720
497,712
498,711
499,723
500,735
501,736
502,710
503,714
504,758
505,784
506,788
507,793
508,775
509,746
510,722
511,719
512,725
513,733
514,744
515,755
516,762
517,758
518,744
519,727
520,718
521,721
522,729
523,755
524,774
525,794
526,811
527,835
528,814
529,772
530,734
531,703
532,693
533,699
534,720
535,740
536,750
537,755
538,754
539,737
540,719
541,713
542,706
543,701
544,709
545,719
546,716
547,687
548,637
549,595
550,660
551,701
552,728
553,724
554,717
555,717
556,715
557,716
558,715
559,722
560,727
561,725
562,712
563,710
564,721
565,733
566,739
567,736
568,724
569,713
570,710
571,721
572,718
573,715
574,729
575,730
576,707
577,699
578,696
579,712
580,724
581,726
582,718
583,711
584,712
585,701
586,715
587,724
588,733
589,748
590,766
591,776
592,753
593,745
594,748
595,763
596,774
597,763
598,739
599,717
